model,Cell Line Name,"ERASTIN (BRD:BRD-A25004090-001-08-4) log2 fold change PRISM Repurposing Public 24Q2"
ACH-000994,HEC59,-0.166191902468
ACH-000995,JURKAT,NA
ACH-000996,HEC251,0.274647569681
ACH-000997,HCT15,0.288742741297
ACH-000998,CW2,0.908698563472
ACH-001001,143B,NA
ACH-001007,A673STAG2KO16,-2.06405984067
ACH-001008,A673STAG2KO45,-1.99116319371
ACH-001009,A673STAG2NT14,-2.19326851479
ACH-001010,A673STAG2NT23,-0.967010681382
ACH-001016,BECKER,0.711614532252
ACH-001020,BT16,NA
ACH-001022,CBAGPN,-0.778645995872
ACH-001024,CHL1,-0.390694451054
ACH-001028,CHLA06ATRT,NA
ACH-001029,CHLA10,0.522959277707
ACH-001033,CHLA57,NA
ACH-001038,COGE352,NA
ACH-001050,CW9019,NA
ACH-001059,DL,NA
ACH-001075,NCIH292,0.45081010442
ACH-001096,JR,NA
ACH-001099,KD,-0.0668787610576
ACH-001106,KOPN8,NA
ACH-001111,L82,NA
ACH-001113,LC1SQSF,0.143923739862
ACH-001128,MON,-1.53938950145
ACH-001129,MONOMAC1,NA
ACH-001145,OC316,0.305408904973
ACH-001148,OCILY132,NA
